id,Song_Name,Artist_Name,Album_Name,Genre,Price,CopyRight,Time,Released
25,La Gorriona,Los Sabios del Norte,La Gorriona '' '',"International , Latin Music",$ 0.99,2013 Perico Records,2:24,"February 9 , 2011"
26,El Jardinero,Los Sabios del Norte,La Gorriona '' '',"International , Latin Music",$ 0.99,2013 Perico Records,4:02,"February 9 , 2011"
27,Notice Me ( Little Carlos Retro Mix ),"Matthias Heilbronn , Sandee",Notice Me '' 2012 - Little Carlos Retro Mix '',"Electronica , Dance & Electronic , House",$ 0.99,2012 InHouse Records,8:49,"July 30 , 2012"
28,# 1 in Heaven ( Azari & III Remix ),Mndr,# 1 in Heaven ( Azari & III Remix ),Dance & Electronic,$ 1.29,2012 InHouse Records,5:27,"July 23 , 2013"
29,# 1 in Heaven ( DJ Skeet Skeet Remix ),Mndr,# 1 in Heaven ( Remixes ),Dance & Electronic,$ 1.29,2012 InHouse Records,6:06,"July 23 , 2013"
30,# 1 in Heaven ( Infuze Remix ),Mndr,# 1 in Heaven ( Remixes ),Dance & Electronic,$ 1.29,2012 InHouse Records,4:19,"July 23 , 2013"
31,# 1 in Heaven,Mndr,# 1 in Heaven,Dance & Electronic,$ 1.29,2012 InHouse Records,3:56,"July 23 , 2013"
32,167 : Dobson Comes to Town,Adventures in Odyssey,# 13 : It All Started When ...,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2006 Focus on the Family,22:04,"December 9 , 2001"
33,167a : Bonus ! The Creation Of Dobson Comes To Town '' '',Adventures in Odyssey,# 13 : It All Started When ...,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2006 Focus on the Family,1:48,"December 9 , 2001"
34,179 : You Got ta Be Wise,Adventures in Odyssey,# 13 : It All Started When ...,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2006 Focus on the Family,23:54,"December 9 , 2001"
35,179a : Bonus ! The Creation Of The Adventures In Odyssey Theme Song,Adventures in Odyssey,# 13 : It All Started When ...,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2006 Focus on the Family,4:14,"December 9 , 2001"
36,180 : Isaac the Pure,Adventures in Odyssey,# 13 : It All Started When ...,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2006 Focus on the Family,23:39,"December 9 , 2001"
37,181 : It Takes Integrity,Adventures in Odyssey,# 13 : It All Started When ...,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2006 Focus on the Family,23:25,"December 9 , 2001"
38,182 : The Scales of Justice,Adventures in Odyssey,# 13 : It All Started When ...,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2006 Focus on the Family,22:19,"December 9 , 2001"
39,182a : Bonus ! Aio Time Filler Features,Adventures in Odyssey,# 13 : It All Started When ...,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2006 Focus on the Family,0:54,"December 9 , 2001"
40,182b : Bonus ! Super Sleuth - Your Skin,Adventures in Odyssey,# 13 : It All Started When ...,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2006 Focus on the Family,0:56,"December 9 , 2001"
41,182c : Bonus ! Mr. How-To - The House Built On Sand,Adventures in Odyssey,# 13 : It All Started When ...,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2006 Focus on the Family,2:08,"December 9 , 2001"
42,182d : Bonus ! Ancient World Of Sports - Gideon 's Pitch,Adventures in Odyssey,# 13 : It All Started When ...,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2006 Focus on the Family,1:55,"December 9 , 2001"
43,"182e : Bonus ! Apostle Paul - Paul , Apostle Paul",Adventures in Odyssey,# 13 : It All Started When ...,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2006 Focus on the Family,2:08,"December 9 , 2001"
44,182f : Bonus ! Apostle Paul - Armed And Ready,Adventures in Odyssey,# 13 : It All Started When ...,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2006 Focus on the Family,2:04,"December 9 , 2001"
45,"261 : Afraid , Not !",Adventures in Odyssey,# 20 : A Journey of Choices,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 0.99,1994 Focus on the Family,20:28,"April 9 , 1994"
46,263 : When Bad Is n't So Good,Adventures in Odyssey,# 20 : A Journey of Choices,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 0.99,1994 Focus on the Family,24:48:00,"April 9 , 1994"
47,264 : Making the Grade,Adventures in Odyssey,# 20 : A Journey of Choices,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 0.99,1994 Focus on the Family,24:37:00,"April 9 , 1994"
48,265 : War of the Words,Adventures in Odyssey,# 20 : A Journey of Choices,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 0.99,1994 Focus on the Family,20:10,"April 9 , 1994"
49,266 : It Began with a Rabbit 's Foot,Adventures in Odyssey,# 20 : A Journey of Choices,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 0.99,1994 Focus on the Family,24:54:00,"April 9 , 1994"
50,267 : It Ended with a Handshake,Adventures in Odyssey,# 20 : A Journey of Choices,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 0.99,1994 Focus on the Family,25:36:00,"April 9 , 1994"
51,268 : Pet Peeves,Adventures in Odyssey,# 20 : A Journey of Choices,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 0.99,1994 Focus on the Family,23:16,"April 9 , 1994"
52,269 : Fences,Adventures in Odyssey,# 20 : A Journey of Choices,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 0.99,1994 Focus on the Family,20:45,"April 9 , 1994"
53,270 : The War Hero,Adventures in Odyssey,# 20 : A Journey of Choices,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 0.99,1994 Focus on the Family,24:59:00,"April 9 , 1994"
54,271 : The Secret Keys of Discipline,Adventures in Odyssey,# 20 : A Journey of Choices,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 0.99,1994 Focus on the Family,24:14:00,"April 9 , 1994"
55,"272 : Two Brothers and Bernard , Part 1 of 2",Adventures in Odyssey,# 20 : A Journey of Choices,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 0.99,1994 Focus on the Family,23:54,"April 9 , 1994"
56,"273 : Two Brothers and Bernard , Part 2 of 2",Adventures in Odyssey,# 20 : A Journey of Choices,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 0.99,1994 Focus on the Family,22:53,"April 9 , 1994"
57,307 : Poetry in Slow Motion,Adventures in Odyssey,# 24 : Risks and Rewards,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1996 Focus on the Family,22:12,"December 9 , 2001"
58,308 : Subject Yourself,Adventures in Odyssey,# 24 : Risks and Rewards,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1996 Focus on the Family,26:12:00,"December 9 , 2001"
59,312 : Rewards in Full,Adventures in Odyssey,# 24 : Risks and Rewards,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1996 Focus on the Family,24:03:00,"December 9 , 2001"
60,313 : Top This !,Adventures in Odyssey,# 24 : Risks and Rewards,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1996 Focus on the Family,24:33:00,"December 9 , 2001"
61,"314 : The Underground Railroad , Part 1 of 3",Adventures in Odyssey,# 24 : Risks and Rewards,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1996 Focus on the Family,21:46,"December 9 , 2001"
62,"315 : The Underground Railroad , Part 2 of 3",Adventures in Odyssey,# 24 : Risks and Rewards,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1996 Focus on the Family,20:13,"December 9 , 2001"
63,"316 : The Underground Railroad , Part 3 of 3",Adventures in Odyssey,# 24 : Risks and Rewards,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1996 Focus on the Family,23:41,"December 9 , 2001"
64,317 : B-TV : Envy,Adventures in Odyssey,# 24 : Risks and Rewards,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1996 Focus on the Family,24:41:00,"December 9 , 2001"
65,"318 : A Touch of Healing , Part 1 of 2",Adventures in Odyssey,# 24 : Risks and Rewards,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1996 Focus on the Family,22:31,"December 9 , 2001"
66,"319 : A Touch of Healing , Part 2 of 2",Adventures in Odyssey,# 24 : Risks and Rewards,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1996 Focus on the Family,26:04:00,"December 9 , 2001"
67,320 : Where Is Thy Sting ?,Adventures in Odyssey,# 24 : Risks and Rewards,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1996 Focus on the Family,28:50:00,"December 9 , 2001"
68,322 : The Turning Point,Adventures in Odyssey,# 24 : Risks and Rewards,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1996 Focus on the Family,25:29:00,"December 9 , 2001"
69,321 : Hidden In My Heart,Adventures in Odyssey,# 26 : Back on the Air,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1996 Focus on the Family,24:33:00,"December 9 , 2001"
70,"335 : Love Is in the Air , Part 1 of 2",Adventures in Odyssey,# 26 : Back on the Air,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1996 Focus on the Family,24:38:00,"December 9 , 2001"
71,"336 : Love Is in the Air , Part 2 of 2",Adventures in Odyssey,# 26 : Back on the Air,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1996 Focus on the Family,26:28:00,"December 9 , 2001"
72,337 : W-O-R-R-Y,Adventures in Odyssey,# 26 : Back on the Air,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1996 Focus on the Family,23:22,"December 9 , 2001"
73,338 : Easy Money,Adventures in Odyssey,# 26 : Back on the Air,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1996 Focus on the Family,24:35:00,"December 9 , 2001"
74,"339 : Do , for a Change",Adventures in Odyssey,# 26 : Back on the Air,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1996 Focus on the Family,24:36:00,"December 9 , 2001"
75,"340 : Pokenberry Falls , R.F.D. , Part 1 of 2",Adventures in Odyssey,# 26 : Back on the Air,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1996 Focus on the Family,24:43:00,"December 9 , 2001"
76,"341 : Pokenberry Falls , R.F.D. , Part 2 of 2",Adventures in Odyssey,# 26 : Back on the Air,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1996 Focus on the Family,24:30:00,"December 9 , 2001"
77,"342 : Welcome Home , Mr. Blackgaard",Adventures in Odyssey,# 26 : Back on the Air,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1996 Focus on the Family,24:31:00,"December 9 , 2001"
78,343 : The Pretty Good Samaritan,Adventures in Odyssey,# 26 : Back on the Air,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1996 Focus on the Family,21:52,"December 9 , 2001"
79,346 : Saint Paul : Voyage to Rome,Adventures in Odyssey,# 26 : Back on the Air,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1996 Focus on the Family,24:37:00,"December 9 , 2001"
80,347 : Saint Paul : An Appointment with Caesar,Adventures in Odyssey,# 26 : Back on the Air,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1996 Focus on the Family,23:07,"December 9 , 2001"
81,383 : B-TV : Thanks,Adventures in Odyssey,# 31 : Days to Remember,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1998 Focus on the Family,28:40:00,"December 9 , 2001"
82,"385 : It 's a Pokenberry Christmas , Part 1 of 2",Adventures in Odyssey,# 31 : Days to Remember,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1998 Focus on the Family,22:05,"December 9 , 2001"
83,"386 : It 's a Pokenberry Christmas , Part 2 of 2",Adventures in Odyssey,# 31 : Days to Remember,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1998 Focus on the Family,23:37,"December 9 , 2001"
84,387 : New Years Eve Live !,Adventures in Odyssey,# 31 : Days to Remember,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1998 Focus on the Family,24:41:00,"December 9 , 2001"
85,393 : Wrapped Around Your Finger,Adventures in Odyssey,# 31 : Days to Remember,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1998 Focus on the Family,27:51:00,"December 9 , 2001"
86,"394 : Saint Patrick : A Heart Afire , Part 1 of 2",Adventures in Odyssey,# 31 : Days to Remember,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1998 Focus on the Family,24:27:00,"December 9 , 2001"
87,"395 : Saint Patrick : A Heart Afire , Part 2 of 2",Adventures in Odyssey,# 31 : Days to Remember,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1998 Focus on the Family,25:48:00,"December 9 , 2001"
88,403 : Faster Than a Speeding Ticket,Adventures in Odyssey,# 31 : Days to Remember,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1998 Focus on the Family,26:30:00,"December 9 , 2001"
89,404 : Hide & Seek,Adventures in Odyssey,# 31 : Days to Remember,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1998 Focus on the Family,26:24:00,"December 9 , 2001"
90,405 : The Graduate,Adventures in Odyssey,# 31 : Days to Remember,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1998 Focus on the Family,27:06:00,"December 9 , 2001"
91,409 : Natural Born Leader,Adventures in Odyssey,# 31 : Days to Remember,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1998 Focus on the Family,25:30:00,"December 9 , 2001"
92,412 : A Lesson From Mike,Adventures in Odyssey,# 31 : Days to Remember,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,1998 Focus on the Family,21:51,"December 9 , 2001"
93,418 : Opening Day,Adventures in Odyssey,# 33 : Virtual Realities,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2000 Focus on the Family,24:27:00,"December 9 , 2001"
94,419 : Another Man 's Shoes,Adventures in Odyssey,# 33 : Virtual Realities,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2000 Focus on the Family,23:17,"December 9 , 2001"
95,"424 : Blackgaard 's Revenge , Part 1 of 2",Adventures in Odyssey,# 33 : Virtual Realities,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2000 Focus on the Family,21:10,"December 9 , 2001"
96,"425 : Blackgaard 's Revenge , Part 2 of 2",Adventures in Odyssey,# 33 : Virtual Realities,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2000 Focus on the Family,18:40,"December 9 , 2001"
97,426 : The Buck Starts Here,Adventures in Odyssey,# 33 : Virtual Realities,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2000 Focus on the Family,23:04,"December 9 , 2001"
98,427 : Something Cliqued Between Us,Adventures in Odyssey,# 33 : Virtual Realities,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2000 Focus on the Family,22:05,"December 9 , 2001"
99,428 : The Eternal Birthday & Bethany 's Imaginary Friend,Adventures in Odyssey,# 33 : Virtual Realities,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2000 Focus on the Family,21:26,"December 9 , 2001"
100,429 : The Y.A.K. Problem,Adventures in Odyssey,# 33 : Virtual Realities,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2000 Focus on the Family,21:44,"December 9 , 2001"
101,430 : Blind Girl 's Bluff,Adventures in Odyssey,# 33 : Virtual Realities,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2000 Focus on the Family,22:03,"December 9 , 2001"
102,431 : Where There 's Smoke & The Virtual Kid,Adventures in Odyssey,# 33 : Virtual Realities,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2000 Focus on the Family,20:48,"December 9 , 2001"
103,"432 : You Win Some , You Lose Some",Adventures in Odyssey,# 33 : Virtual Realities,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2000 Focus on the Family,22:01,"December 9 , 2001"
104,433 : The Treasure Room & Chain Reaction,Adventures in Odyssey,# 33 : Virtual Realities,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2000 Focus on the Family,22:39,"December 9 , 2001"
105,"449 : The Big Deal , Part 1 of 2",Adventures in Odyssey,# 35 : The Big Picture,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2001 Focus on the Family,21:19,"December 9 , 2001"
106,"450 : The Big Deal , Part 2 of 2",Adventures in Odyssey,# 35 : The Big Picture,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2001 Focus on the Family,22:40,"December 9 , 2001"
107,451 : Life Trials of the Rich & Famous,Adventures in Odyssey,# 35 : The Big Picture,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2001 Focus on the Family,22:41,"December 9 , 2001"
108,452 : Missionary Impossible,Adventures in Odyssey,# 35 : The Big Picture,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2001 Focus on the Family,22:53,"December 9 , 2001"
109,"453 : The Great Wishy Woz , Part 1 of 2",Adventures in Odyssey,# 35 : The Big Picture,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2001 Focus on the Family,25:12:00,"December 9 , 2001"
110,"454 : The Great Wishy Woz , Part 2 of 2",Adventures in Odyssey,# 35 : The Big Picture,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2001 Focus on the Family,25:39:00,"December 9 , 2001"
111,455 : Best Laid Plans,Adventures in Odyssey,# 35 : The Big Picture,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2001 Focus on the Family,24:59:00,"December 9 , 2001"
112,456 : Worst Day Ever,Adventures in Odyssey,# 35 : The Big Picture,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2001 Focus on the Family,22:58,"December 9 , 2001"
113,457 : Opportunity Knocks,Adventures in Odyssey,# 35 : The Big Picture,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2001 Focus on the Family,22:27,"December 9 , 2001"
114,458 : Red Herring,Adventures in Odyssey,# 35 : The Big Picture,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2001 Focus on the Family,25:12:00,"December 9 , 2001"
115,459 : Slumber Party,Adventures in Odyssey,# 35 : The Big Picture,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2001 Focus on the Family,22:54,"December 9 , 2001"
116,460 : Nova Rising,Adventures in Odyssey,# 35 : The Big Picture,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2001 Focus on the Family,24:32:00,"December 9 , 2001"
117,"488 : Under the Influence , Part 1 of 2",Adventures in Odyssey,# 38 : Battle Lines,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2002 Focus on the Family,22:09,"December 9 , 2001"
118,"489 : Under the Influence , Part 2 of 2",Adventures in Odyssey,# 38 : Battle Lines,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2002 Focus on the Family,28:27:00,"December 9 , 2001"
119,"490 : The Black Veil , Part 1 of 2",Adventures in Odyssey,# 38 : Battle Lines,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2002 Focus on the Family,19:44,"December 9 , 2001"
120,"491 : The Black Veil , Part 2 of 2",Adventures in Odyssey,# 38 : Battle Lines,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2002 Focus on the Family,22:47,"December 9 , 2001"
121,492 : Twisting Pathway,Adventures in Odyssey,# 38 : Battle Lines,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2002 Focus on the Family,23:11,"December 9 , 2001"
122,493 : Sheep 's Clothing,Adventures in Odyssey,# 38 : Battle Lines,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2002 Focus on the Family,22:41,"December 9 , 2001"
123,494 : Box of Miracles,Adventures in Odyssey,# 38 : Battle Lines,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2002 Focus on the Family,22:29,"December 9 , 2001"
124,495 : The Unraveling,Adventures in Odyssey,# 38 : Battle Lines,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2002 Focus on the Family,24:27:00,"December 9 , 2001"
125,496 : Exceptional Circumstances,Adventures in Odyssey,# 38 : Battle Lines,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2002 Focus on the Family,24:28:00,"December 9 , 2001"
126,497 : Expect the Worst,Adventures in Odyssey,# 38 : Battle Lines,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2002 Focus on the Family,22:45,"December 9 , 2001"
127,498 : Exactly As Planned,Adventures in Odyssey,# 38 : Battle Lines,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2002 Focus on the Family,23:36,"December 9 , 2001"
128,499 : Exit,Adventures in Odyssey,# 38 : Battle Lines,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2002 Focus on the Family,22:20,"December 9 , 2001"
129,"535 : Living in the Gray , Part 1 of 2",Adventures in Odyssey,# 42 : No Way Out,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2004 Focus on the Family,23:14,"December 9 , 2001"
130,"536 : Living in the Gray , Part 2 of 2",Adventures in Odyssey,# 42 : No Way Out,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2004 Focus on the Family,22:48,"December 9 , 2001"
131,538 : Stubborn Streaks,Adventures in Odyssey,# 42 : No Way Out,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2004 Focus on the Family,23:34,"December 9 , 2001"
132,539 : Called on in Class,Adventures in Odyssey,# 42 : No Way Out,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2004 Focus on the Family,21:24,"December 9 , 2001"
133,540 : The Girl in the Sink,Adventures in Odyssey,# 42 : No Way Out,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2004 Focus on the Family,24:21:00,"December 9 , 2001"
134,541 : Bernard & Saul,Adventures in Odyssey,# 42 : No Way Out,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2004 Focus on the Family,24:30:00,"December 9 , 2001"
135,542 : Eggshells,Adventures in Odyssey,# 42 : No Way Out,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2004 Focus on the Family,24:14:00,"December 9 , 2001"
136,543 : Nothing But the Half Truth,Adventures in Odyssey,# 42 : No Way Out,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2004 Focus on the Family,24:44:00,"December 9 , 2001"
137,544 : Split Ends,Adventures in Odyssey,# 42 : No Way Out,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2004 Focus on the Family,24:18:00,"December 9 , 2001"
138,545 : Something 's Got to Change,Adventures in Odyssey,# 42 : No Way Out,"Children 's , Children 's Music , Christian Contemporary Music , Christian",$ 1.99,2004 Focus on the Family,22:22,"December 9 , 2001"
