id,title,manufacturer,price
amazon:144,backup exec netware open file v9 .2 e/g full package product,veritas,695.0
amazon:145,microsoft virtual pc for mac 7.0 with windows 2000,microsoft,249.99
amazon:146,microsoft mappoint 2006 standard edition,microsoft,299.0
amazon:147,red hat entprse linux as 3 amd rhf0211us ),red hat software,
amazon:148,ca arcserve bkup r11 .1 / nw stor area netw ( san ) opt prod only,computer associates,
amazon:149,enterasys vpn & firewall code upgrade xsr-18xx-vpn-fw ),cabletron systems,1928.07
amazon:150,suretrak project manager 3.0,primavera systems,499.0
amazon:151,vrs4 .0 plus scsi workgroup scanning 5 & 6,fujitsu imaging,
amazon:152,pdf create ! 4.0 retail,nuance-communications-inc .,49.99
amazon:153,upgrade 3d for exceed 2007 1u,hummingbird communications,
amazon:154,cisco 3745 ser ios ent cd374-esk9 = ),cisco systems enterprise,2814.33
amazon:155,softgrid cal for ts 4.1 english mlp 20 user cal,microsoft,
amazon:156,details 3.0,aec software,304.99
amazon:157,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ),adobe systems inc,
amazon:158,photo objects 150 000 for macintosh,nova development,49.99
amazon:159,insight pwr mgr no media 1ltu,hewlett packard,
amazon:160,fontware pro +,informatics,
amazon:161,gods : lands of infinity special edition,strategy first,29.99
amazon:162,icopydvds2 ultra by digital wunders,global-marketing-partners,89.99
amazon:163,hallmark blank greeting cards half-fold matte premium 20 count,nova development,12.99
amazon:164,sea scene : living underwater worlds ( jewel case ),valusoft,9.99
amazon:165,hp storageworks secure path for windows workgroup edition v. 4.0 c license 213076-b26 ),hewlett packard,
amazon:166,equilibrium debabelizer pro 6.0 1 user,equilibrium,599.99
amazon:167,prosoft tunetech for ipod ( mac ),prosoft engineering,74.99
amazon:168,autodesk discreet combustion 4 windows ),autodesk,
amazon:169,reel deal casino quest,phantom efx,19.99
amazon:170,espro + interpretair s/w,fluke networks,5750.6
amazon:171,microsoft licenses word mac 10.0 eng govt ( d4800369 ),microsoft licenses,349.83
amazon:172,ca arcserve bkup r11 .5 win agent mac os x upgrade prod only,computer associates,
amazon:173,netmanage rumba web to host as400 ed v4 .2 910620-000 ),netmanage,
amazon:174,1pk internet sec ste 2007 oem,ca oem,
amazon:175,diskeeper 2007 professional single lic pack,diskeeper corporation,79.21
amazon:176,instant immersion japanese ( audio book ),topics entertainment,
amazon:177,world of warcraft 60 day pre-paid time card,blizzard entertainment,29.99
amazon:178,smart steps 4th grade,dorling-kindersley-multimedia - ( dk ),29.95
amazon:179,ca arcserve bkup r11 .5 win dro sp1 prod only,computer associates,
amazon:180,textbridge pro 11,nuance-communications-inc .,79.99
amazon:181,emedia rock guitar method,emedia,39.99
amazon:182,home bartending 101 shooters,arc-media-inc .,19.95
amazon:183,jumpstart reading with karaoke,knowledge adventure,29.99
amazon:184,crystal reports xi developer,business objects,595.0
amazon:185,iremember digital scrapbooking 2.0,intriguing development,39.95
amazon:186,learn2 training for microsoft powerpoint,topics-entertainment-software - ( consignment ),9.99
amazon:187,adobe acrobat distiller svr v6-cd sun 100u 42050106 ),adobe,9104.19
amazon:188,tomb raider : legend,eidos interactive,19.99
amazon:189,upgrade delphi 2006 pro named fr delphi v3-2005 pro cd,borland international,
amazon:190,isi researchsoft reference manager 11 single user,isi researchsoft,299.99
amazon:191,high availability requires two livesecurity firesboxes,watchguard technologies inc,1995.0
amazon:192,buku karkuro,topware interactive,19.99
amazon:193,backup exec 10d win adv disk v10 .1 lic only ( e180518 ),symantec corporation .,983.34
amazon:194,procurve manager plus upgrade -,hewlett packard,
amazon:195,world of warcraft,blizzard entertainment,19.99
amazon:196,world of warcraft pc,vivendi,35.7
amazon:197,sonicwall global vpn client license 01-ssc-5310 ),sonic systems inc. .,
amazon:198,scansoft paperport professional 11 5 user license,nuance communications inc.,949.99
amazon:199,netmanage upg rumba unix-hp edition level 902453-007-c ),netmanage,
amazon:200,upg serverlock for solaris gold,watchguard technologies inc,
amazon:201,backup exec netware remote agt win/netware svr v9 .2 e/g,veritas,295.0
amazon:202,the computrace lojack for laptops computer tracking and loss control solution by,lenovo,
amazon:203,lotus dev . mqseries link for r/3-v 1.2 cd sol 04l1671 ),lotus development corp,
amazon:204,cisco ios enterprise services complete package cd28-esk9 = ),cisco systems enterprise,
amazon:205,nortel contivity stateful firewall license standard 1 switch,nortel,
amazon:206,hp data protector exp bu svr cmp upgrade ltu,hewlett packard,
amazon:207,crystal reports 11 professional full product french,business objects,909.66
amazon:208,wasp bar code wasp bar code labeler complete package 3 users std cd -,wasp technologies,
amazon:209,ibm rational clearcase lt v. 6.0.0 media vol passport passport adva,ibm,
amazon:210,upgrade terminal emulation software 2006 with media 1u,esker,
amazon:211,microsoft entertainment pack ce,microsoft,49.5
amazon:212,diskeeper 2007 pro premier 10-lic pack,diskeeper corporation,1372.21
amazon:213,netmanage rumba web as/400 edition 910523-002 ),netmanage,
amazon:214,watchguard 1yr subs firebox x5 webblocker wg017196 ),watchguard technologies inc,159.9
amazon:215,netmanage rumba web to host as400 ed v4 .2 910623-000 ),netmanage,
amazon:216,adobe illustrator cs3 upgrade from freehand [ mac ],adobe,199.0
amazon:217,cisco syst . minor release : requires existing cww-6 .1 - win-mr ),cisco systems enterprise,
amazon:218,microsoft upg win small business svr cal t74-01215 ),microsoft corporation,330.14
amazon:219,ca brightstor arcserve backup r11 .1 for netware upgrade from arcserve 7 for netware,computer associates,
amazon:220,mobileinventory additional mobile license,wasp technologies,
amazon:221,watchguard license wg vpn upgrade from 4 to 10 ( wg4110 ),watchguard license,2098.55
amazon:222,pinnacle studio plus titanium edition v10 .5,pinnacle,69.99
amazon:223,symantec client security 3.1 with groupware protection business pack 50 user,symantec,3732.0
amazon:224,netmanage rumba web as/400 edition 910584-001 ),netmanage,
amazon:225,microsoft powerpoint 2004 ( mac ),microsoft,229.99
amazon:226,refviz v2 mac single user,isi researchsoft,299.95
amazon:227,e frontier manga studio debut 3.0 ( single user ),curious labs inc.,49.99
amazon:228,microsoft licenses win svr 2003 device cal l/sa ( r1800144 ),microsoft licenses,74.59
amazon:229,vcomm system suite professional 7,avanquest,49.95
amazon:230,ca arcserve bkup r11 .5 win svrless bkup opt sp1 - prod only,computer associates,
amazon:231,red hat enterprise linux ws v. 4 update 4 license 1 workstation rl296aa ),hewlett packard,
amazon:232,printshop home & office labels,broderbund,19.95
amazon:233,photo explosion deluxe 3.0,nova development,49.99
amazon:234,ntrack anti-theft by synet electronics,global marketing partners,
amazon:235,pdf converter professional v4 english,nuance communications inc.,99.99
amazon:236,readiris pro 11,global marketing partners,129.99
amazon:237,persoft upg smarterm office v12 .1 73098 ),persoft,
amazon:238,ca brightstor arcserve backup r11 .5 for enterprise option for advantage ingres for,computer associates,
amazon:239,designcad v 17,imsi,29.95
amazon:240,lotus dev . ws bus int monitor v4.2.4-multi plat mp eng af04mna ),lotus development corp,
amazon:241,left behind : ilumina edition,tyndale house,29.99
amazon:242,lotus dev . ibm db2 net search extender v. 8.2 media bb0kyna ),lotus development corp,
amazon:243,money premium 2007 win32 eng na mini box us only cd,microsoft,118.46
amazon:244,microsoft visual studio team edition for software developers 2005 with msdn premium,microsoft,5479.0
amazon:245,dora the explorer : dora 's world adventures,activision,19.99
amazon:246,microsoft licenses isa server lic/sa olp c ( e8400294 ),microsoft licenses,3210.4
amazon:247,netmanage onweb web-to-host v. 5.1 upgrade license 910443-004 ),netmanage,
amazon:248,microsoft windows small business server cal 2003 license pack 20 client addpack device,microsoft software,
amazon:249,scansoft paperport 11 5 user license,nuance communications inc.,474.99
amazon:250,adobe after effects professional 7.0,adobe,999.0
amazon:251,microsoft crm small business ed cal 3.0 license pack user cal,microsoft software,9929.0
amazon:252,stompsoft registry repair,stompsoft inc.,29.99
amazon:253,filemaker mobile 8 for palm os and pocket pc,filemaker,69.0
amazon:254,watchguard mobile user vpn 5 user bundle wg3605 ),watchguard technologies inc,
amazon:255,diskeeper 2007 pro premier 5-lic pack,diskeeper corporation,736.66
amazon:256,hallmark card studio 2005 deluxe,sierra home,49.99
amazon:257,ca brightstor arcserve backup r11 .5 for enterprise option for advantage ingres for,computer associates,
amazon:258,microsoft visual studio team edition for software architect 2005 with msdn premium,microsoft,5479.0
amazon:259,library expansion option-upg,novastor corporation,
amazon:260,cisco 2600xm ser ios ip/fw/ids cd26xm-ch = ),cisco systems enterprise,
amazon:261,procurve mobility manager 1.0 is a plug-in module for procurve manager plus 2.0,hewlett packard,
amazon:262,hp sp linux we 50 lic/cd 3.0 c t3586a ),hewlett-packard - ( consumables ),
amazon:263,symantec mail security for smtp 5.0 smb av cd 5u gov,symantec,
amazon:264,adobe photoshop cs3 extended [ mac ],adobe,999.0
amazon:265,adobe indesign cs3 [ mac ],adobe,699.0
amazon:266,intervideo dvd copy 5 platinum,corel,49.99
amazon:267,adobe photoshop elements 5.0 / premier elements 3.0 [ lb ],adobe,149.99
amazon:268,world of rainbow fish,global-software-publishing,19.99
amazon:269,microsoft publisher with digital imaging 2003 [ old version ],microsoft,209.99
amazon:270,adobe acrobat 7.0 professional,adobe,449.99
amazon:271,microsoft office small business 2007,microsoft software,735.33
amazon:272,adobe audition 2.0,adobe,349.0
amazon:273,quickbooks credit card processing kit 3.0,intuit,39.95
amazon:274,instant immersion italian 2.0,topics entertainment,29.99
amazon:275,easy drums ( jewel case ),arcmedia,9.99
amazon:276,instant immersion 33 languages,topics entertainment,49.99
amazon:277,super solvers spellbound ! ! school edition for mac,learning company,49.95
amazon:278,snap ! 1 001 letters ( jewel case ),topics entertainment,19.95
amazon:279,the printshop 20,broderbund,29.99
amazon:280,startopia,eidos interactive,39.95
amazon:281,easy home massage dvd,selectmedia entertainment,19.95
amazon:282,elementary success deluxe 2006 ( dw dvd ),topics entertainment,49.99
amazon:283,tonka town ( jewel case ),atari,9.99
amazon:284,sibelius 5 educational edition,sibelius-software-ltd .,329.0
amazon:285,weekly reader preparing for kindergarten,fogware publishing,19.99
amazon:286,my maillist & addressbook,mysoftware company,19.95
amazon:287,sibelius 5 professional edition,sibelius-software-ltd .,599.0
amazon:288,tonka search & rescue 2,infogrames,
amazon:289,professional training for vegas 7 and dvd architect 4 sw,sony-pictures-digital-entertainment,249.95
amazon:290,talk now ! learn dutch,eurotalk interactive,29.95
amazon:291,wacky bird hunter,selectsoft publishing,19.95
amazon:292,namco museum 50th anniversary collection,namco video games,19.99
amazon:293,treasure galaxy 5-user lab pack for mac,learning company,149.95
amazon:294,dk rainbow fish most beautiful fish,dk,9.99
amazon:295,madeline rainy day activities,encore software,19.95
amazon:296,mighty math number heroes,edmark,29.95
amazon:297,superstart ! science arcade,selectsoft publishing,24.95
amazon:298,state standards grade 6,topics entertainment,29.95
amazon:299,wacky farm,casual arcade,19.95
amazon:300,police quest compilation,vivendi games,19.99
amazon:301,broderbund printmaster platinum 16.0,encore software,39.99
amazon:302,encyclopedia britannica profiles : dinosaurs ( jewel case ),atari,9.99
amazon:303,real arcade : adventure inlay,activision,29.95
amazon:304,fisher-price rescue heroes : lava landslide,knowledge adventure,
amazon:305,tonka raceway xp compatible ( jewel case ),hasbro interactive,29.95
amazon:306,quickstart photo montage studio,selectsoft publishing,19.95
amazon:307,season ticket football 2003,atari,19.99
amazon:308,virusbarrier x4 10.4 for mac-10 users,intego,329.95
amazon:309,family tree maker version 16 deluxe,encore,69.95
amazon:310,instant architect design suite,imsi design,29.99
amazon:311,axis network camera 213 ptz digital video camera 0220-004 ),axis-communication-inc .,
amazon:312,norton antivirus 2007,symantec,39.99
amazon:313,backyard soccer ( mls edition ),humongous sports,
amazon:314,zipmagic personal edition,allume systems,19.95
amazon:315,super solvers mission t.h.i.n.k 25 user site license,learning company,399.95
amazon:316,f-secure internet security 2007 3 pcs,global-marketing-partners,79.99
amazon:317,disney 2nd grade active leveling advantage w buzz ( jewel case ) ages 6-8,disney interactive,9.99
amazon:318,ultimate puzzle games,valusoft,19.99
amazon:319,poetry fiction and drama ( win/mac ) ( jewel case ),fogware publishing,9.99
amazon:320,quicken 2007 premier,intuit,79.95
amazon:321,route 66 mobile 7 usa/cdn for windows mobile 5,csdc,149.0
amazon:322,adobe premiere pro 2.0,adobe,849.0
amazon:323,geometry ( win/mac ) ( jewel case ),fogware publishing,9.99
amazon:324,reader rabbit preschool,the-learning-company,29.99
amazon:325,cross stitch design studio ( jewel case ),m-and-r-technologies,9.99
amazon:326,math missions : the race to spectacle city arcade ( grades k-2 ),scholastic,29.95
amazon:327,world of wild cats,arc media inc.,19.95
amazon:328,state standards grade 8,topics entertainment,29.95
amazon:329,cluefinders 3rd grade adventures : mystery of mathra,learning company,
amazon:330,ghostsurf platinum 2006 [ lb ],avanquest publishing usa inc.,39.99
amazon:331,instant home cooking ( jewel case ),topics entertainment,9.99
amazon:332,spy sweeper [ lb ],webroot software,29.99
amazon:333,adobe after effects 7.0 professional ( mac ),adobe,999.0
amazon:334,transfer my dvd,avanquest,29.95
amazon:335,tlc zoombinis 3rd grade lrng sys 2007 sb cs by riverdeep 10548 ),encore-software-inc,
amazon:336,csi : crime scene investigation,ubi soft,19.99
amazon:337,jaws,majesco entertainment,19.99
amazon:338,sega smash pack 2,activision,19.95
amazon:339,post mortem,dreamcatcher interactive,29.99
amazon:340,zoboomafoo animal logic cd/workbook combo,brighter minds media inc.,14.99
amazon:341,mother goose interactive storybook,encore software,19.95
amazon:342,let 's learn about time & date,selectsoft publishing,19.95
amazon:343,living trust builder,jian inc.,19.95
amazon:344,ubi soft star wars activity center windows ),ubi soft,29.99
amazon:345,portfolio media kit be syst recovery 7.0 win small business ed,symantec,50.0
amazon:346,mcafee internet security suite 2007 3 users,mcafee,89.99
amazon:347,jumpstart advanced 1st grade v2 .0,knowledge adventure,19.99
amazon:348,microsoft office & windows training,topics entertainment,29.99
amazon:349,middle school success deluxe 2008,topics entertainment,49.99
amazon:350,adobe creative suite cs3 design standard upsell [ mac ],adobe,899.0
amazon:351,is3 stopzilla 4.0 [ stop spyware pop-ups id theft ],roxio,29.95
amazon:352,pc vegas dvd,sony-pictures-home-entertainment,899.99
amazon:353,sony vegas 6 + dvd [ old version ],sony-pictures-digital-entertainment,899.95
amazon:354,the universe ( win/mac ) ( jewel case ),fogware publishing,9.99
amazon:355,zonealarm internet security suite,zone labs,49.99
amazon:356,ringtone media studio 2,laplink,19.95
amazon:357,print workshop 2007,valusoft,19.99
amazon:358,perfect attorney premium,cosmi corporation,39.99
amazon:359,adventure workshop 1st-3rd grade 8th edition,encore,19.99
amazon:360,fun for kids : preschool kindergarten featuring disney,topics entertainment,29.99
amazon:361,adobe creative suite cs3 web standard upsell,adobe,799.0
amazon:362,national geographic photo gallery ( jewel case ),topics entertainment,9.99
amazon:363,sony psp media manager,sony-computer-entertainment,24.99
amazon:364,adobe premiere elements 3.0 [ lb ],adobe,99.99
amazon:365,english literature basics ( win/mac ) ( jewel case ),fogware publishing,9.99
amazon:366,riverdeep arthur 's kindergarten,riverdeep,
amazon:367,big oil : build an oil empire,tri synergy,19.99
amazon:368,jumpstart advanced 3rd grade v2 .0,knowledge adventure,19.99
amazon:369,tlc arthur 's kindergarten learning system 2008,encore,19.99
amazon:370,cosmi talking math & more for kids ( windows ),cosmi,
amazon:371,microsoft powerpoint 2004 upgrade ( mac ),microsoft,109.99
amazon:372,readiris pro 11 corporate edition,iris inc.,399.99
amazon:373,magellan mapsend lakes ( usa south ),magellan,114.66
amazon:374,mcafee virusscan plus 2007,mcafee,39.99
amazon:375,reel deal casino championship edition,phantom efx,19.99
amazon:376,printmaster gold v 17.0,nova development,19.95
amazon:377,pc cillin internet sec 2007 lics large box 3u,trend micro,49.95
amazon:378,aquarium 3-in-one collection ( win/mac ),encore software,19.99
amazon:379,cute ftp,tri synergy,39.99
amazon:380,kaspersky anti-virus 6.0,kaspersky lab,59.95
amazon:381,restricted area,whiptail,19.99
amazon:382,adobe production studio premium,adobe,1699.0
amazon:383,merriam-webster 's dictionary ( win/mac ) ( jewel case ),fogware publishing,9.99
amazon:384,lego island 2 : the brickster 's revenge ( xp compatible version ),lego media,
amazon:385,tank battle,casual arcade,19.95
amazon:386,quickstudy u.s. government,selectsoft publishing,19.95
amazon:387,home budget for dummies,atari,
amazon:388,zonealarm wireless security,encore software,29.99
amazon:389,instant immersion japanese 2.0,topics entertainment,19.99
amazon:390,encyclopedia of our living oceans,dk multimedia,19.95
amazon:391,ultimate pinball ( jewel case ),valusoft,9.99
amazon:392,clifford reading pack ( dvd box ),scholastic,19.99
amazon:393,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0
amazon:394,jumpstart advanced 2nd grade v2 .0,knowledge adventure,19.99
amazon:395,world history ( win/mac ) ( jewel case ),fogware publishing,9.99
amazon:396,quickbooks premier non-profit edition 2005,intuit inc.,499.95
amazon:397,quickstart pc cleaner xp,selectsoft publishing,19.95
amazon:398,crayola first ladies costume maker,encore software,19.95
amazon:399,arcmedia spelling bee ( windows/macintosh ),arcmedia,24.95
amazon:400,pokemon team turbo ( jewel case ),valusoft,9.99
amazon:401,south park chef 's luv shack,acclaim,39.95
amazon:402,blues clues preschool,humongous entertainment,
amazon:403,backyard skateboarding,atari,
amazon:404,cosmi rom07524 print perfect business cards dvd,cosmi,
amazon:405,vivaldi 's musical adventure pod,fogware publishing,9.95
amazon:406,cluefinders 3rd grade,the learning company,
amazon:407,rayman 10th anniversary collection,ubi soft,19.99
amazon:408,before you know it deluxe spanish edition for pc/mac,encore software,29.99
amazon:409,pdf converter 4,nuance,49.95
amazon:410,er,vivendi universal,19.99
amazon:411,podmaxx '07,bling,29.99
amazon:412,adobe creative suite cs3 web premium upsell [ mac ],adobe,1399.0
amazon:413,human body 360,megasystems,29.99
amazon:414,web radio recorder,magix entertainment,
amazon:415,bodyworks 6.0 25-user building site license,learning company,399.95
amazon:416,virtual labs : light,edmark,19.95
amazon:417,pressure pop !,selectsoft publishing,19.95
amazon:418,essential business tools 2.0,valusoft,19.99
amazon:419,let 's make stickers,global software publishing,19.95
amazon:420,student home learning system for pc/mac,fogware publishing,139.99
amazon:421,3mds network operations manager diy annual subscptn 101 500u,3m,
amazon:422,model web publisher 3.5.2 .,computer-associates-international,
amazon:423,microsoft licenses word olp c ( 05903871 ),microsoft licenses,205.73
amazon:424,vpn manager five to ten firebox,watchguard technologies inc,1995.0
amazon:425,hoyle card games 2007,encore software,29.99
amazon:426,ca arcserve bkup protection suite exch r11 .5 upgrade prod only,computer associates,
amazon:427,victorymul submitwolf version 6.0 swolf6r ),victory multimedia,149.99
amazon:428,zonealarm anti-spyware,zone labs,29.99
