entity_id,title,manufacturer,price,source_A_id,source_B_id
DN2-00189,english - literature basics (win/mac) (jewel case),fogware publishing,9.99,364,2695
DN2-00190,riverdeep arthur's kindergarten,riverdeep,19.95,365,2631
DN2-00191,jumpstart advanced 3rd grade v2.0,knowledge adventure,19.99,367,2621
DN2-00192,cosmi talking math & more for kids (windows),cosmi,4.99,368,2677
DN2-00193,microsoft powerpoint 2004 upgrade (mac),microsoft,109.99,369,2409
DN2-00194,readiris pro 11 corporate edition,iris inc.,399.99,370,2678
DN2-00195,magellan mapsend lakes (usa south),magellan,114.66,371,2660
DN2-00196,mcafee virusscan plus 2007,mcafee,39.99,372,2669
DN2-00197,reel deal casino championship edition,phantom efx,19.99,373,2509
DN2-00198,printmaster gold v 17.0,nova development,19.95,374,2511
DN2-00199,aquarium 3-in-one collection (win/mac),encore software,19.99,376,2503
DN2-00200,cute ftp,tri synergy,39.99,377,2517
DN2-00201,kaspersky anti-virus 6.0,kaspersky lab,59.95,378,2546
DN2-00202,restricted area,whiptail,19.99,379,2513
DN2-00203,merriam-webster's dictionary (win/mac) (jewel case),fogware publishing,9.99,381,2515
DN2-00204,instant immersion japanese 2.0,topics entertainment,19.99,387,2834
DN2-00205,jumpstart advanced 2nd grade v2.0,knowledge adventure,19.99,392,2746
DN2-00206,cosmi rom07524 print perfect business cards dvd,cosmi,29.99,402,2729
DN2-00207,podmaxx '07,bling,29.99,409,2713
DN2-00208,adobe creative suite cs3 web premium upsell [mac],adobe,1399,410,181
DN2-00209,human body 360,megasystems,29.99,411,2714
DN2-00210,web radio recorder,magix entertainment,24.99,412,2715
DN2-00211,student home learning system for pc/mac,fogware publishing,139.99,418,2302
DN2-00212,3mds network operations manager diy annual subscptn 101 500u,3m,144.63,419,2296
DN2-00213,hoyle card games 2007,encore software,29.99,423,2272
DN2-00214,ca arcserve bkup protection suite exch r11.5 upgrade prod only,computer associates,2249.99,424,2255
DN2-00215,the guild 2 - pirates of the seas,dreamcatcher interactive,29.99,427,2210
DN2-00216,child safe 3-pc,webroot software,39.95,428,2190
DN2-00217,microsoft windows server 2003 client additional license for devices - 5 pack,microsoft,209,429,2924
DN2-00218,mediapilot kit,susteen,39.95,431,2173
DN2-00219,upgrade pitstop server 3.5 1u win 2k/xp & mac os 10.2.8,enfocus software,499,432,2165
DN2-00220,sudoku puzzle addict: unlimited edition,global software publ na,7.93,434,2151
DN2-00221,aircraft power pack for ms flight simulator,red mile,29.99,435,2146
DN2-00222,winway resume deluxe 11.0 network 10,nova development,349.99,436,2149
DN2-00223,researchsoft endnote 9 student edition for students [old version],isi researchsoft,109.99,438,2139
DN2-00224,sony acid music studio,sony pictures digital entertainment,69.99,439,2106
DN2-00225,jumpstart 1st grade,knowledge adventure,9.9,442,2102
DN2-00226,instant landscaping 3.0 [lb],topics entertainment,19.99,443,2104
DN2-00227,topics presents: ancient civilizations (4 cd set),topics entertainment,29.99,444,2099
DN2-00228,simple movie maker,topics entertainment,19.99,445,2101
DN2-00229,instant play electric guitar (jewel box),topics entertainment,6.99,446,2092
DN2-00230,boomerang webpage designer gold,boomerang,36.9,447,2094
DN2-00231,x-oom mp3 radio recorder ( windows ),x-oom,22.9,448,2083
DN2-00232,adobe after effects cs3,adobe,999,450,2415
DN2-00233,phonics success deluxe 2006 (large box),topics entertainment,49.99,451,2080
DN2-00234,land before time: preschool,brighter minds media inc.,9.99,452,2082
DN2-00235,brainfood games cranium collection 2006,encore software,19.99,453,2450
DN2-00236,clickart fonts (2006) by encore,encore software,19.99,454,2439
DN2-00237,national geographic presents: redshift 5 planetarium software,topics entertainment,39.99,455,2498
DN2-00238,stationery design studio,summit software,19.99,456,2496
DN2-00239,anti-spyware 3.0 win normal 1u - new,trend micro,48.91,457,2414
DN2-00240,snap! 8 player poker 5 pack,topics entertainment,29.06,458,2404
DN2-00241,alien disco safari,encore,19.99,459,2437
DN2-00242,emc retrospect 7.5 svr 1-client windows,dantz,249,460,2428
DN2-00243,ae painter v9 win/mac box,corel corp,166.19,462,2388
DN2-00244,adobe creative suite cs3 web standard upgrade [mac],adobe,399,463,428
DN2-00245,treasure mathstorm,the learning company,29.99,466,2081
DN2-00246,ae mappoint 2006 cd,microsoft corp,49.95,467,2376
DN2-00247,ov data protector open file 5-wk v.9 ltu incl ltu for 5 win nt/2000/xp workstati,hewlett packard,320.44,469,2386
DN2-00248,pro photo essentials plug in suite & iview mediapro 3,onone software,499.95,470,2381
DN2-00249,mindjet mindmanager 7 mac single license,mindjet,129,474,2365
DN2-00250,sound studio 3: record edit add effects to audio (mac),freeverse software,79.99,476,2353
DN2-00251,jumpstart world 1st grade,knowledge adventure,19.99,477,2358
DN2-00252,art explosion t-shirt factory deluxe 3.0,nova development,29.99,478,2360
DN2-00253,window washer,webroot software inc,25.97,479,2334
DN2-00254,child safe,webroot software,39.95,480,2336
DN2-00255,adobe premiere elements 3.0,adobe,161.73,481,2662
DN2-00256,on hand spanish 1-2-3 ( windows ),on hand software,9.99,482,2338
DN2-00257,crystal reports 11 reporting essentials trng cbt,business objects,199.99,484,2313
DN2-00258,star wars battlefront (mac),aspyr media,39.99,485,2324
DN2-00259,flyboys squadron mac,ientertainment,29.99,486,2329
DN2-00260,microsoft visual studio professional 2005 upgrade,microsoft software,549,487,2658
DN2-00261,hollywood volume 1,yamaha,31.95,488,2332
DN2-00262,webobjects 5.2,apple,699.95,491,801
DN2-00263,serious magic ultra2 master sets library 2 ( windows ),serious magic,276.5,492,2177
DN2-00264,microsoft windows vista business 32-bit for system builders,microsoft,179.99,493,1602
DN2-00265,microsoft data analyzer 2002,microsoft,179,494,1529
DN2-00266,mavis beacon typing 17 deluxe by broderbund,encore software,39.99,495,2436
DN2-00267,symantec pcanywhere 12.0 host only,symantec,169.65,496,1540
DN2-00268,the printshop business card maker (jewel case),riverdeep - learning company,9.99,497,299
DN2-00269,microsoft digital image suite plus [lb],microsoft software,129.95,498,799
DN2-00270,hallmark card studio 2006,sierra home,29.99,500,1546
DN2-00271,adobe audition 2.0 upgrade,adobe,129,501,2482
DN2-00272,norton internet security mac 3.0 [antivirus firewall privacy controls iclean],symantec,99.95,502,2105
DN2-00273,corel wordperfect office 12 standard upgrade,corel,149.99,503,380
DN2-00274,raster design 2006 essentials,autodesk psg,59.95,504,1457
DN2-00275,acrobat professional 8 mac upsell standard-professional,adobe,273,505,167
DN2-00276,services for netware 5.0,microsoft,149,506,1913
DN2-00277,reader rabbit learning system 1st grade,encore software,29.99,507,2005
DN2-00278,microsoft windows xp professional upgrade with sp2,microsoft software,199.99,509,2697
DN2-00279,mavis beacon typing 17 (win/mac),encore software,19.99,510,2004
DN2-00280,instant immersion spanish deluxe 2.0,topics entertainment,49.99,512,2659
DN2-00281,adobe creative suite cs3 design premium upgrade [mac],adobe,599,513,884
DN2-00282,adobe photoshop cs3 [mac],adobe,649,514,970
DN2-00283,microsoft student with encarta premium 2008 dvd,microsoft,49.95,516,2330
DN2-00284,microsoft sql server developer edition 2005 cd/dvd,microsoft software,49.95,518,1763
DN2-00285,microsoft visio standard 2007,microsoft,259.95,519,2693
DN2-00286,apple final cut express hd 3.5 (mac),apple computer,299,521,932
DN2-00287,corel painter x win/mac,corel,429,522,236
DN2-00288,quickbooks simple start 2007,intuit,99.95,524,2226
DN2-00289,zoo tycoon 2: marine mania expansion,microsoft,19.99,525,1559
DN2-00290,learning company kid pix deluxe 4,encore software,19.99,526,2356
DN2-00291,microsoft windows server 2003 client additional license for users-5 pack,microsoft,809,527,2405
DN2-00292,imsi resume writer deluxe [lb],imsi design,19.95,530,2019
DN2-00293,apple .mac 4.0 online service,apple,99.95,532,886
DN2-00294,apple iwork '06 (mac dvd),apple,79,533,978
DN2-00295,learning quickbooks 2007,intuit,39.95,534,0
DN2-00296,ulead videostudio 11 plus,corel,129.99,535,5
DN2-00297,microsoft onenote 2007,microsoft,99.95,536,2708
DN2-00298,apple ilife '06 (mac dvd) [older version],apple computer,79,537,221
DN2-00299,adobe photoshop cs3 upgrade [mac],adobe,199,538,370
DN2-00300,microsoft windows xp home edition full version with sp2,microsoft,199,539,285
DN2-00301,microsoft outlook 2007,microsoft,109.95,541,2717
DN2-00302,quickbooks pro 2007 small business financial software,intuit,199.95,542,2227
DN2-00303,corel snapfire plus [ignite photo fun],corel,39.99,546,538
DN2-00304,instant immersion german deluxe 2.0,topics entertainment,39.99,548,2839
DN2-00305,scooby doo glowing bug man (jewel case),encore software,9.99,549,542
DN2-00306,instant immersion italian deluxe 2.0,topics entertainment,49.99,550,2841
DN2-00307,adobe creative suite cs3 production premium,adobe,1699,551,2060
DN2-00308,instant immersion spanish 2.0,topics entertainment,29.99,552,2696
DN2-00309,adobe dreamweaver cs3 [mac],adobe,399,553,325
DN2-00310,quicken 2007 basic,intuit,29.95,555,2300
DN2-00311,adobe dreamweaver cs3 upgrade [mac],adobe,199,556,942
DN2-00312,h&r block taxcut 2006 premium federal,h&r block,19.99,558,2062
DN2-00313,adobe creative suite cs3 web premium [mac],adobe,1599,559,323
DN2-00314,apple garageband jam pack: symphony orchestra,apple,99,560,356
DN2-00315,h&r block taxcut 2006 home & business + state,h&r block,79.99,561,2419
DN2-00316,dv rack 2 win retail ue1u,adobe,908.69,562,2649
DN2-00317,professor teaches windows xp,individual software,19.99,564,787
DN2-00318,microsoft visio standard 2007 version upgrade,microsoft,129.95,565,2848
DN2-00319,adobe dreamweaver cs3 upgrade,adobe,199,566,1524
DN2-00320,coreldraw graphics suite x3 upgrade,corel,179,567,1605
DN2-00321,microsoft mappoint 2006 with gps,microsoft,349,568,2850
DN2-00322,quicken 2007 home & business,intuit,89.95,571,2091
DN2-00323,microsoft office excel 2007,microsoft,229.95,572,2673
DN2-00324,h&r block taxcut 2006 premium federal + state + efile,h&r block,59.99,573,2422
DN2-00325,quickbooks premier edition 2007 - 5 user multi-pack,intuit,1499.95,574,263
DN2-00326,hoyle board games,encore,9.99,575,2466
DN2-00327,apple garageband jam pack: remix tools,apple,99,576,455
DN2-00328,roxio popcorn 2 (mac),roxio,49.95,577,148
DN2-00329,intervideo windvd 8 platinum,corel,69.99,579,2408
DN2-00330,quickbooks premier professional services edition 2007,intuit,399.95,580,2420
DN2-00331,microsoft word 2007 version upgrade,microsoft,109.95,581,2670
DN2-00332,adobe creative suite cs3 design standard [mac],adobe,1199,582,554
DN2-00333,quicken 2007 deluxe,intuit,59.95,583,2284
DN2-00334,apple garageband jam pack: world music,apple,99,584,315
DN2-00335,apple iwork '06 family pack (mac dvd) [older version],apple,99,585,264
DN2-00336,adobe after effects cs3 upgrade,adobe,299,586,256
DN2-00337,adobe indesign cs3 upgrade [mac],adobe,199,587,150
DN2-00338,corel wordperfect office x3 professional edition,corel,399.99,588,602
DN2-00339,flash remoting 1 alp ret eng cd 1u,adobe,1657.06,589,653
DN2-00340,swat 4: special weapons and tactics,vivendi universal,19.99,590,821
DN2-00341,apple .mac 4.0 online service family pack,apple,179.95,594,513
DN2-00342,jumpstart kindergarten,knowledge adventure,19.99,595,1997
DN2-00343,adobe creative suite cs3 design standard upgrade [mac],adobe,399,596,934
DN2-00344,apple aperture 1.5,apple,299,597,258
DN2-00345,microsoft word 2004 (mac),microsoft,229.99,598,981
DN2-00346,microsoft office 2004 professional (mac),microsoft,499.99,599,2108
DN2-00347,broderbund print shop 21 deluxe,encore software,49.99,600,1410
DN2-00348,adobe creative suite cs3 web premium upgrade [mac],adobe,499,601,528
DN2-00349,mavis beacon teaches typing deluxe 16,broderbund,39.99,603,1976
DN2-00350,corel ventura 10 dvd,corel,699,605,2224
DN2-00351,adobe creative suite cs3 design standard upgrade,adobe,399,608,367
DN2-00352,microsoft windows vista home basic upgrade [dvd],microsoft,99.95,609,1477
DN2-00353,norton antivirus mac 10.0 (mac),symantec,69.95,610,213
DN2-00354,pop-up stopper professional,panicware,29.99,611,290
DN2-00355,ideasoft photo clip art 10 000,nova development,7.81,612,289
DN2-00356,adobe premiere pro cs3,adobe,799,613,189
DN2-00357,entertainment partners budgeting (mac),entertainment partners,699,614,288
DN2-00358,emedia intermediate guitar method win/mac,emedia,59.99,615,287
DN2-00359,super collapse 3,mumbo jumbo,19.99,616,296
DN2-00360,timbuktu remote control softwre 2 licenses for windows & mac,netopia,199.99,617,295
DN2-00361,apple final cut studio 2 upgrade from final cut studio (mac),apple,499,618,293
DN2-00362,steinberg halion symphonic orchestra virtual instrument (academic version),steinberg,374.99,619,291
DN2-00363,delorme topo usa mapping software 6.0 west region,delorme,49.95,621,275
DN2-00364,soho labels & envelopes - chronos l.c.,chronos,29.99,622,274
DN2-00365,stopzilla 4.0,roxio,47.33,623,273
DN2-00366,h&r block taxcut 2006 premium federal + state with usb 256m flashdrive,h&r block,39.99,624,2241
DN2-00367,microsoft windows xp professional full version with sp2,microsoft,299.99,625,272
DN2-00368,sportsman's double play,masque,17.55,626,280
DN2-00369,phase one capture one pro win/mac,phase one,499,627,279
DN2-00370,family tree maker version 16 essentials,encore,29.95,628,278
DN2-00371,mavis beacon teaches typing deluxe v17,encore software,39.99,629,276
DN2-00372,mah jong quest,united developers,22.99,630,324
DN2-00373,apple final cut studio 2 upgrade from final cut pro (mac),apple,699,631,326
DN2-00374,cosmic blobs: lab rat edition (win & mac),solidworks corporation,39.99,632,321
DN2-00375,alsoft diskwarrior: mac univeral binary,alsoft,89.99,633,322
DN2-00376,sims 2 nightlife expansion pack,aspyr media,34.99,634,332
DN2-00377,adobe flash pro cs3 [mac],adobe,699,635,351
DN2-00378,40 years of the avengers,git corp,49.99,636,334
DN2-00379,microspot macdraft pe (mac),microspot ltd.,99.95,637,329
DN2-00380,microsoft virtual pc for mac 7.0 with windows xp home,microsoft,219.99,638,331
DN2-00381,instant immersion german audio,topics entertainment,12.05,639,306
DN2-00382,readiris pro 11 corporate edition (mac),iris,499.95,640,310
